127.0.0.1 - - [22/Dec/2019:07:25:53 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [22/Dec/2019:07:25:53 +0530] "GET /spring-mvc-demo/WEB-INF/view/helloWorld.jsp HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/Dec/2019:07:26:17 +0530] "GET /spring-mvc-demo/WEB-INF/view/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/Dec/2019:07:26:23 +0530] "GET /spring-mvc-demo/WEB-INF/view/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/Dec/2019:07:26:35 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [22/Dec/2019:07:26:39 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [22/Dec/2019:07:26:47 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [22/Dec/2019:08:34:48 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [22/Dec/2019:08:35:01 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [22/Dec/2019:08:51:06 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 500 4215
0:0:0:0:0:0:0:1 - - [22/Dec/2019:08:52:00 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 500 5432
0:0:0:0:0:0:0:1 - - [22/Dec/2019:08:53:24 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 500 5432
0:0:0:0:0:0:0:1 - - [22/Dec/2019:08:57:30 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [22/Dec/2019:08:57:33 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 500 5433
0:0:0:0:0:0:0:1 - - [22/Dec/2019:09:01:59 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [22/Dec/2019:09:02:02 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [22/Dec/2019:09:02:24 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [22/Dec/2019:16:26:09 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 500 27612
0:0:0:0:0:0:0:1 - - [22/Dec/2019:16:37:05 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 500 14199
